
------------------------2020-04-02 16:58:34：工厂开始运行----------------------------
2020-04-02 16:58:42:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0080.ts
2020-04-02 16:58:41:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0073.ts
2020-04-02 16:58:40:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0019.ts
2020-04-02 16:58:45:[WARING]视频合并完成;F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口/P1.mp4
2020-04-02 16:58:44:[WARING]视频合并完成;F:\study_project\webpack\scrapy\acfun_video\二七梦3月快手弹唱短视频合集/noTitle.mp4
2020-04-02 16:58:46-------------------------------------------------主线程结束-------------
2020-04-02 17:12:23：-----------------------------工厂开始运行----------------------------
2020-04-02 17:12:28:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\二七梦3月快手弹唱短视频合集\/0003.ts
2020-04-02 17:12:28:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\二七梦3月快手弹唱短视频合集\/0004.ts
2020-04-02 17:12:28:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\二七梦3月快手弹唱短视频合集\/0002.ts
2020-04-02 17:12:28:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\二七梦3月快手弹唱短视频合集\/0005.ts
2020-04-02 17:12:28:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0001.ts
2020-04-02 17:12:28:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\二七梦3月快手弹唱短视频合集\/0001.ts
2020-04-02 17:12:28:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0003.ts
2020-04-02 17:12:28:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\二七梦3月快手弹唱短视频合集\/0006.ts
2020-04-02 17:12:28:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0002.ts
2020-04-02 17:12:28:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0005.ts
